,Security,Symbol,GICS Sector,GICS Sub Industry
103,Cerner,CERN,Health Care,Health Care Technology
104,CF Industries Holdings Inc,CF,Materials,Fertilizers & Agricultural Chemicals
105,Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage
106,Charter Communications,CHTR,Communication Services,Cable & Satellite
107,Chevron Corp.,CVX,Energy,Integrated Oil & Gas
108,Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants
109,Chubb Limited,CB,Financials,Property & Casualty Insurance
110,Church & Dwight,CHD,Consumer Staples,Household Products
111,CIGNA Corp.,CI,Health Care,Managed Health Care
112,Cimarex Energy,XEC,Energy,Oil & Gas Exploration & Production
113,Cincinnati Financial,CINF,Financials,Property & Casualty Insurance
114,Cintas Corporation,CTAS,Industrials,Diversified Support Services
115,Cisco Systems,CSCO,Information Technology,Communications Equipment
116,Citigroup Inc.,C,Financials,Diversified Banks
117,Citizens Financial Group,CFG,Financials,Regional Banks
118,Citrix Systems,CTXS,Information Technology,Internet Software & Services
119,The Clorox Company,CLX,Consumer Staples,Household Products
120,CME Group Inc.,CME,Financials,Financial Exchanges & Data
121,CMS Energy,CMS,Utilities,Multi-Utilities
122,Coca-Cola Company,KO,Consumer Staples,Soft Drinks
123,Cognizant Technology Solutions,CTSH,Information Technology,IT Consulting & Other Services
124,Colgate-Palmolive,CL,Consumer Staples,Household Products
125,Comcast Corp.,CMCSA,Communication Services,Cable & Satellite
126,Comerica Inc.,CMA,Financials,Diversified Banks
127,Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats
128,Concho Resources,CXO,Energy,Oil & Gas Exploration & Production
129,ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production
130,Consolidated Edison,ED,Utilities,Electric Utilities
131,Constellation Brands,STZ,Consumer Staples,Distillers & Vintners
132,The Cooper Companies,COO,Health Care,Health Care Supplies
133,Copart Inc,CPRT,Industrials,Diversified Support Services
134,Corning Inc.,GLW,Information Technology,Electronic Components
135,Costco Wholesale Corp.,COST,Consumer Staples,Hypermarkets & Super Centers
136,"Coty, Inc",COTY,Consumer Staples,Personal Products
137,Crown Castle International Corp.,CCI,Real Estate,Specialized REITs
138,CSX Corp.,CSX,Industrials,Railroads
139,Cummins Inc.,CMI,Industrials,Industrial Machinery
140,CVS Health,CVS,Health Care,Health Care Services
141,D. R. Horton,DHI,Consumer Discretionary,Homebuilding
142,Danaher Corp.,DHR,Health Care,Health Care Equipment
143,Darden Restaurants,DRI,Consumer Discretionary,Restaurants
144,DaVita Inc.,DVA,Health Care,Health Care Facilities
145,Deere & Co.,DE,Industrials,Agricultural & Farm Machinery
146,Delta Air Lines Inc.,DAL,Industrials,Airlines
147,Dentsply Sirona,XRAY,Health Care,Health Care Supplies
148,Devon Energy,DVN,Energy,Oil & Gas Exploration & Production
149,Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production
150,Digital Realty Trust Inc,DLR,Real Estate,Specialized REITs
151,Discover Financial Services,DFS,Financials,Consumer Finance
152,Discovery Inc. Class A,DISCA,Communication Services,Broadcasting
153,Discovery Inc. Class C,DISCK,Communication Services,Broadcasting
154,Dish Network,DISH,Communication Services,Cable & Satellite
155,Dollar General,DG,Consumer Discretionary,General Merchandise Stores
156,Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores
157,Dominion Energy,D,Utilities,Electric Utilities
158,Dover Corp.,DOV,Industrials,Industrial Machinery
159,Dow Inc.,DOW,Materials,Commodity Chemicals
160,DowDuPont,DWDP,Materials,Specialty Chemicals
161,DTE Energy Co.,DTE,Utilities,Multi-Utilities
162,Duke Realty Corp,DRE,Real Estate,Industrial REITs
163,Duke Energy,DUK,Utilities,Electric Utilities
164,DXC Technology,DXC,Information Technology,IT Consulting & Other Services
165,E*Trade,ETFC,Financials,Investment Banking & Brokerage
166,Eastman Chemical,EMN,Materials,Diversified Chemicals
167,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment
168,eBay Inc.,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
169,Ecolab Inc.,ECL,Materials,Specialty Chemicals
170,Edison Int'l,EIX,Utilities,Electric Utilities
171,Edwards Lifesciences,EW,Health Care,Health Care Equipment
172,Electronic Arts,EA,Communication Services,Interactive Home Entertainment
173,Emerson Electric Company,EMR,Industrials,Electrical Components & Equipment
174,Entergy Corp.,ETR,Utilities,Electric Utilities
175,EOG Resources,EOG,Energy,Oil & Gas Exploration & Production
176,Equifax Inc.,EFX,Industrials,Research & Consulting Services
177,Equinix,EQIX,Real Estate,Specialized REITs
178,Equity Residential,EQR,Real Estate,Residential REITs
179,"Essex Property Trust, Inc.",ESS,Real Estate,Residential REITs
180,Estee Lauder Cos.,EL,Consumer Staples,Personal Products
181,Evergy,EVRG,Utilities,Electric Utilities
182,Eversource Energy,ES,Utilities,Multi-Utilities
183,Everest Re Group Ltd.,RE,Financials,Reinsurance
184,Exelon Corp.,EXC,Utilities,Multi-Utilities
185,Expedia Group,EXPE,Consumer Discretionary,Internet & Direct Marketing Retail
186,Expeditors,EXPD,Industrials,Air Freight & Logistics
187,Extra Space Storage,EXR,Real Estate,Specialized REITs
188,Exxon Mobil Corp.,XOM,Energy,Integrated Oil & Gas
189,F5 Networks,FFIV,Information Technology,Communications Equipment
190,"Facebook, Inc.",FB,Communication Services,Interactive Media & Services
191,Fastenal Co,FAST,Industrials,Building Products
192,Federal Realty Investment Trust,FRT,Real Estate,Retail REITs
193,FedEx Corporation,FDX,Industrials,Air Freight & Logistics
194,Fidelity National Information Services,FIS,Information Technology,Internet Software & Services
195,Fifth Third Bancorp,FITB,Financials,Regional Banks
196,FirstEnergy Corp,FE,Utilities,Electric Utilities
197,First Republic Bank,FRC,Financials,Regional Banks
198,Fiserv Inc,FISV,Information Technology,Internet Software & Services
199,FleetCor Technologies Inc,FLT,Information Technology,Data Processing & Outsources Services
200,FLIR Systems,FLIR,Information Technology,Electronic Equipment & Instruments
201,Flowserve Corporation,FLS,Industrials,Industrial Machinery
202,Fluor Corp.,FLR,Industrials,Construction & Engineering
203,FMC Corporation,FMC,Materials,Fertilizers & Agricultural Chemicals
204,Foot Locker Inc,FL,Consumer Discretionary,Apparel Retail
205,Ford Motor,F,Consumer Discretionary,Automobile Manufacturers
206,Fortinet,FTNT,Information Technology,Systems Software
207,Fortive Corp,FTV,Industrials,Industrial Machinery
208,Fortune Brands Home & Security,FBHS,Industrials,Building Products
209,Franklin Resources,BEN,Financials,Asset Management & Custody Banks
210,Freeport-McMoRan Inc.,FCX,Materials,Copper
211,Gap Inc.,GPS,Consumer Discretionary,Apparel Retail
212,Garmin Ltd.,GRMN,Consumer Discretionary,Consumer Electronics
213,Gartner Inc,IT,Information Technology,IT Consulting & Other Services
214,General Dynamics,GD,Industrials,Aerospace & Defense
215,General Electric,GE,Industrials,Industrial Conglomerates
216,General Mills,GIS,Consumer Staples,Packaged Foods & Meats
217,General Motors,GM,Consumer Discretionary,Automobile Manufacturers
218,Genuine Parts,GPC,Consumer Discretionary,Specialty Stores
219,Gilead Sciences,GILD,Health Care,Biotechnology
220,Global Payments Inc.,GPN,Information Technology,Data Processing & Outsourced Services
221,Goldman Sachs Group,GS,Financials,Investment Banking & Brokerage
222,Grainger (W.W.) Inc.,GWW,Industrials,Industrial Machinery
223,Halliburton Co.,HAL,Energy,Oil & Gas Equipment & Services
224,Hanesbrands Inc,HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
225,Harley-Davidson,HOG,Consumer Discretionary,Motorcycle Manufacturers
226,Harris Corporation,HRS,Industrials,Aerospace & Defense
227,Hartford Financial Svc.Gp.,HIG,Financials,Property & Casualty Insurance
228,Hasbro Inc.,HAS,Consumer Discretionary,Leisure Products
229,HCA Holdings,HCA,Health Care,Health Care Facilities
230,HCP Inc.,HCP,Real Estate,Health Care REITs
231,Helmerich & Payne,HP,Energy,Oil & Gas Drilling
232,Henry Schein,HSIC,Health Care,Health Care Distributors
233,The Hershey Company,HSY,Consumer Staples,Packaged Foods & Meats
234,Hess Corporation,HES,Energy,Integrated Oil & Gas
235,Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
236,Hilton Worldwide Holdings Inc,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
237,HollyFrontier Corp,HFC,Energy,Oil & Gas Refining & Marketing
238,Hologic,HOLX,Health Care,Health Care Equipment
239,Home Depot,HD,Consumer Discretionary,Home Improvement Retail
240,Honeywell Int'l Inc.,HON,Industrials,Industrial Conglomerates
241,Hormel Foods Corp.,HRL,Consumer Staples,Packaged Foods & Meats
242,Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs
243,HP Inc.,HPQ,Information Technology,"Technology Hardware, Storage & Peripherals"
244,Humana Inc.,HUM,Health Care,Managed Health Care
245,Huntington Bancshares,HBAN,Financials,Regional Banks
246,Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense
247,IDEXX Laboratories,IDXX,Health Care,Health Care Equipment
248,IHS Markit Ltd.,INFO,Industrials,Research & Consulting Services
249,Illinois Tool Works,ITW,Industrials,Industrial Machinery
250,Illumina Inc,ILMN,Health Care,Life Sciences Tools & Services
251,Ingersoll-Rand PLC,IR,Industrials,Industrial Machinery
252,Intel Corp.,INTC,Information Technology,Semiconductors
253,Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data
254,International Business Machines,IBM,Information Technology,IT Consulting & Other Services
255,Incyte,INCY,Health Care,Biotechnology
256,International Paper,IP,Materials,Paper Packaging
257,Interpublic Group,IPG,Communication Services,Advertising
258,Intl Flavors & Fragrances,IFF,Materials,Specialty Chemicals
259,Intuit Inc.,INTU,Information Technology,Internet Software & Services
260,Intuitive Surgical Inc.,ISRG,Health Care,Health Care Equipment
261,Invesco Ltd.,IVZ,Financials,Asset Management & Custody Banks
262,IPG Photonics Corp.,IPGP,Information Technology,Electronic Manufacturing Services
263,IQVIA Holdings Inc.,IQV,Health Care,Life Sciences Tools & Service
264,Iron Mountain Incorporated,IRM,Real Estate,Specialized REITs
265,Jack Henry & Associates Inc,JKHY,Information Technology,Data Processing & Outsourced Services
266,Jacobs Engineering Group,JEC,Industrials,Construction & Engineering
267,J. B. Hunt Transport Services,JBHT,Industrials,Trucking
268,Jefferies Financial Group,JEF,Financials,Multi-Sector Holdings
269,JM Smucker,SJM,Consumer Staples,Packaged Foods & Meats
270,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals
271,Johnson Controls International,JCI,Industrials,Building Products
272,JPMorgan Chase & Co.,JPM,Financials,Diversified Banks
273,Juniper Networks,JNPR,Information Technology,Communications Equipment
274,Kansas City Southern,KSU,Industrials,Railroads
275,Kellogg Co.,K,Consumer Staples,Packaged Foods & Meats
276,KeyCorp,KEY,Financials,Regional Banks
277,Keysight Technologies,KEYS,Information Technology,Electronic Equipment & Instruments
278,Kimberly-Clark,KMB,Consumer Staples,Household Products
279,Kimco Realty,KIM,Real Estate,Retail REITs
280,Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation
281,KLA-Tencor Corp.,KLAC,Information Technology,Semiconductor Equipment
282,Kohl's Corp.,KSS,Consumer Discretionary,General Merchandise Stores
283,Kraft Heinz Co,KHC,Consumer Staples,Packaged Foods & Meats
284,Kroger Co.,KR,Consumer Staples,Food Retail
285,L Brands Inc.,LB,Consumer Discretionary,Apparel Retail
286,L-3 Communications Holdings,LLL,Industrials,Aerospace & Defense
287,Laboratory Corp. of America Holding,LH,Health Care,Health Care Services
288,Lam Research,LRCX,Information Technology,Semiconductor Equipment
289,Lamb Weston Holdings Inc,LW,Consumer Staples,Packaged Foods & Meats
290,Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings
291,Lennar Corp.,LEN,Consumer Discretionary,Homebuilding
292,Lilly (Eli) & Co.,LLY,Health Care,Pharmaceuticals
293,Lincoln National,LNC,Financials,Multi-line Insurance
294,Linde plc,LIN,Materials,Industrial Gases
295,LKQ Corporation,LKQ,Consumer Discretionary,Distributors
296,Lockheed Martin Corp.,LMT,Industrials,Aerospace & Defense
297,Loews Corp.,L,Financials,Multi-line Insurance
298,Lowe's Cos.,LOW,Consumer Discretionary,Home Improvement Retail
299,LyondellBasell,LYB,Materials,Specialty Chemicals
300,M&T Bank Corp.,MTB,Financials,Regional Banks
301,Macerich,MAC,Real Estate,Retail REITs
302,Macy's Inc.,M,Consumer Discretionary,Department Stores
303,Marathon Oil Corp.,MRO,Energy,Oil & Gas Exploration & Production
304,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
305,Marriott Int'l.,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
306,Marsh & McLennan,MMC,Financials,Insurance Brokers
307,Martin Marietta Materials,MLM,Materials,Construction Materials
308,Masco Corp.,MAS,Industrials,Building Products
309,Mastercard Inc.,MA,Information Technology,IT Services
310,Mattel Inc.,MAT,Consumer Discretionary,Leisure Products
311,McCormick & Co.,MKC,Consumer Staples,Packaged Foods & Meats
312,Maxim Integrated Products Inc,MXIM,Information Technology,Semiconductors
313,McDonald's Corp.,MCD,Consumer Discretionary,Restaurants
314,McKesson Corp.,MCK,Health Care,Health Care Distributors
315,Medtronic plc,MDT,Health Care,Health Care Equipment
316,Merck & Co.,MRK,Health Care,Pharmaceuticals
317,MetLife Inc.,MET,Financials,Life & Health Insurance
318,Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
319,MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming
320,Microchip Technology,MCHP,Information Technology,Semiconductors
321,Micron Technology,MU,Information Technology,Semiconductors
322,Microsoft Corp.,MSFT,Information Technology,Systems Software
323,Mid-America Apartments,MAA,Real Estate,Residential REITs
324,Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings
325,Molson Coors Brewing Company,TAP,Consumer Staples,Brewers
326,Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats
327,Monster Beverage,MNST,Consumer Staples,Soft Drinks
328,Moody's Corp,MCO,Financials,Financial Exchanges & Data
329,Morgan Stanley,MS,Financials,Investment Banking & Brokerage
330,The Mosaic Company,MOS,Materials,Fertilizers & Agricultural Chemicals
331,Motorola Solutions Inc.,MSI,Information Technology,Communications Equipment
332,MSCI Inc,MSCI,Financials,Financial Exchanges & Data
333,Mylan N.V.,MYL,Health Care,Pharmaceuticals
334,"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data
335,National Oilwell Varco Inc.,NOV,Energy,Oil & Gas Equipment & Services
336,Nektar Therapeutics,NKTR,Health Care,Pharmaceuticals
337,NetApp,NTAP,Information Technology,Internet Software & Services
338,Netflix Inc.,NFLX,Communication Services,Movies & Entertainment
339,Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties
340,Newmont Mining Corporation,NEM,Materials,Gold
341,News Corp. Class A,NWSA,Communication Services,Publishing
342,News Corp. Class B,NWS,Communication Services,Publishing
343,NextEra Energy,NEE,Utilities,Multi-Utilities
344,Nielsen Holdings,NLSN,Industrials,Research & Consulting Services
345,Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
346,NiSource Inc.,NI,Utilities,Multi-Utilities
347,Noble Energy Inc,NBL,Energy,Oil & Gas Exploration & Production
348,Nordstrom,JWN,Consumer Discretionary,Department Stores
349,Norfolk Southern Corp.,NSC,Industrials,Railroads
350,Northern Trust Corp.,NTRS,Financials,Asset Management & Custody Banks
351,Northrop Grumman Corp.,NOC,Industrials,Aerospace & Defense
352,Norwegian Cruise Line,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
353,NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders
354,Nucor Corp.,NUE,Materials,Steel
355,Nvidia Corporation,NVDA,Information Technology,Semiconductors
356,O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores
357,Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production
358,Omnicom Group,OMC,Communication Services,Advertising
359,ONEOK,OKE,Energy,Oil & Gas Storage & Transportation
360,Oracle Corp.,ORCL,Information Technology,Application Software
361,PACCAR Inc.,PCAR,Industrials,Construction Machinery & Heavy Trucks
362,Packaging Corporation of America,PKG,Materials,Paper Packaging
363,Parker-Hannifin,PH,Industrials,Industrial Machinery
364,Paychex Inc.,PAYX,Information Technology,Internet Software & Services
365,PayPal,PYPL,Information Technology,Data Processing & Outsourced Services
366,Pentair plc,PNR,Industrials,Industrial Machinery
367,People's United Financial,PBCT,Financials,Thrifts & Mortgage Finance
368,PepsiCo Inc.,PEP,Consumer Staples,Soft Drinks
369,PerkinElmer,PKI,Health Care,Health Care Equipment
370,Perrigo,PRGO,Health Care,Pharmaceuticals
371,Pfizer Inc.,PFE,Health Care,Pharmaceuticals
372,Philip Morris International,PM,Consumer Staples,Tobacco
373,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing
374,Pinnacle West Capital,PNW,Utilities,Multi-Utilities
375,Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production
376,PNC Financial Services,PNC,Financials,Regional Banks
377,Polo Ralph Lauren Corp.,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
378,PPG Industries,PPG,Materials,Specialty Chemicals
379,PPL Corp.,PPL,Utilities,Electric Utilities
380,Principal Financial Group,PFG,Financials,Life & Health Insurance
381,Procter & Gamble,PG,Consumer Staples,Personal Products
382,Progressive Corp.,PGR,Financials,Property & Casualty Insurance
383,Prologis,PLD,Real Estate,Industrial REITs
384,Prudential Financial,PRU,Financials,Life & Health Insurance
385,Public Serv. Enterprise Inc.,PEG,Utilities,Electric Utilities
386,Public Storage,PSA,Real Estate,Specialized REITs
387,Pulte Homes Inc.,PHM,Consumer Discretionary,Homebuilding
388,PVH Corp.,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
389,Qorvo,QRVO,Information Technology,Semiconductors
390,Quanta Services Inc.,PWR,Industrials,Construction & Engineering
391,QUALCOMM Inc.,QCOM,Information Technology,Semiconductors
392,Quest Diagnostics,DGX,Health Care,Health Care Services
393,Raymond James Financial Inc.,RJF,Financials,Investment Banking & Brokerage
394,Raytheon Co.,RTN,Industrials,Aerospace & Defense
395,Realty Income Corporation,O,Real Estate,Retail REITs
396,Red Hat Inc.,RHT,Information Technology,Systems Software
397,Regency Centers Corporation,REG,Real Estate,Retail REITs
398,Regeneron,REGN,Health Care,Biotechnology
399,Regions Financial Corp.,RF,Financials,Regional Banks
400,Republic Services Inc,RSG,Industrials,Environmental & Facilities Services
401,ResMed,RMD,Health Care,Health Care Equipment
402,Robert Half International,RHI,Industrials,Human Resource & Employment Services
403,Rockwell Automation Inc.,ROK,Industrials,Electrical Components & Equipment
404,Rollins Inc.,ROL,Industrials,Environmental & Facilities Services
405,Roper Technologies,ROP,Industrials,Industrial Conglomerates
406,Ross Stores,ROST,Consumer Discretionary,Apparel Retail
407,Royal Caribbean Cruises Ltd,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
408,Salesforce.com,CRM,Information Technology,Internet Software & Services
409,SBA Communications,SBAC,Real Estate,Specialized REITs
410,Schlumberger Ltd.,SLB,Energy,Oil & Gas Equipment & Services
411,Seagate Technology,STX,Information Technology,"Technology Hardware, Storage & Peripherals"
412,Sealed Air,SEE,Materials,Paper Packaging
413,Sempra Energy,SRE,Utilities,Multi-Utilities
414,Sherwin-Williams,SHW,Materials,Specialty Chemicals
415,Simon Property Group Inc,SPG,Real Estate,Retail REITs
416,Skyworks Solutions,SWKS,Information Technology,Semiconductors
417,SL Green Realty,SLG,Real Estate,Office REITs
418,Snap-on,SNA,Industrials,Industrial Machinery
419,Southern Co.,SO,Utilities,Electric Utilities
420,Southwest Airlines,LUV,Industrials,Airlines
421,"S&P Global, Inc.",SPGI,Financials,Financial Exchanges & Data
422,Stanley Black & Decker,SWK,Industrials,Industrial Machinery
423,Starbucks Corp.,SBUX,Consumer Discretionary,Restaurants
424,State Street Corp.,STT,Financials,Asset Management & Custody Banks
425,Stryker Corp.,SYK,Health Care,Health Care Equipment
426,SunTrust Banks,STI,Financials,Regional Banks
427,SVB Financial,SIVB,Financials,Regional Banks
428,Symantec Corp.,SYMC,Information Technology,Application Software
429,Synchrony Financial,SYF,Financials,Consumer Finance
430,Synopsys Inc.,SNPS,Information Technology,Application Software
431,Sysco Corp.,SYY,Consumer Staples,Food Distributors
432,T. Rowe Price Group,TROW,Financials,Asset Management & Custody Banks
433,Take-Two Interactive,TTWO,Communication Services,Interactive Home Entertainment
434,"Tapestry, Inc.",TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
435,Target Corp.,TGT,Consumer Discretionary,General Merchandise Stores
436,TE Connectivity Ltd.,TEL,Information Technology,Electronic Manufacturing Services
437,TechnipFMC,FTI,Energy,Oil & Gas Equipment & Services
438,Teleflex Inc,TFX,Health Care,Health Care Equipment
439,Texas Instruments,TXN,Information Technology,Semiconductors
440,Textron Inc.,TXT,Industrials,Aerospace & Defense
441,Thermo Fisher Scientific,TMO,Health Care,Health Care Equipment
442,Tiffany & Co.,TIF,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
443,"Twitter, Inc.",TWTR,Communication Services,Interactive Media & Services
444,TJX Companies Inc.,TJX,Consumer Discretionary,Apparel Retail
