,Unnamed: 0,Security,Symbol,GICS Sector,GICS Sub Industry,Ticker,Price,Shares Outstanding,Market Cap,Expected Growth - 5 Year,Last 12 Month Return,Beta,Avg Current Estimate,EPS
14,14,Akamai Technologies Inc,AKAM,Information Technology,Internet Services & Infrastructure,AKAM,79.37,163860000.0,13061000000.0,0.153,0.1075,0.18,4.1,1.76
15,15,Alaska Air Group Inc,ALK,Industrials,Airlines,ALK,61.41,123500000.0,7697000000.0,0.1531,-0.0676,1.15,5.97,3.52
16,16,Albemarle Corp,ALB,Materials,Specialty Chemicals,ALB,75.85,105890000.0,7946000000.0,0.1329,-0.2192,1.08,6.21,6.34
17,17,Alexandria Real Estate Equities,ARE,Real Estate,Office REITs,ARE,141.47,112960000.0,16053999999.999998,0.001,0.131,0.85,1.93,3.52
18,18,Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology,ALXN,135.19,224240000.0,30451000000.0,0.1497,0.1501,1.75,9.31,1.86
19,19,Align Technology,ALGN,Health Care,Health Care Supplies,ALGN,318.52,79990000.0,25835000000.0,0.21359999999999998,0.2708,2.71,5.14,4.64
20,20,Allegion,ALLE,Industrials,Building Products,ALLE,98.49,93950000.0,9311000000.0,0.0867,0.2751,1.19,4.86,4.63
21,21,"Allergan, Plc",AGN,Health Care,Pharmaceuticals,AGN,146.66,330220000.0,48506000000.0,0.038900000000000004,-0.0478,1.6,16.43,-15.26
22,22,Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services,ADS,158.07,52380000.0,8372000000.0,0.059699999999999996,-0.22149999999999997,2.11,21.83,17.42
23,23,Alliant Energy Corp,LNT,Utilities,Electric Utilities,LNT,46.38,237390000.0,11153000000.0,0.058499999999999996,0.0775,0.29,2.25,2.19
24,24,Allstate Corp,ALL,Financials,Property & Casualty Insurance,ALL,97.9,332980000.0,32752000000.000004,0.1216,-0.0006,0.7,8.98,5.96
25,25,Alphabet Inc Class A,GOOGL,Communication Services,Interactive Media & Services,GOOGL,1190.63,299360000.0,826373000000.0,0.17600000000000002,0.2726,1.19,46.96,43.7
26,26,Alphabet Inc Class C,GOOG,Communication Services,Interactive Media & Services,GOOG,1185.0,349290000.0,822958000000.0,0.17600000000000002,0.2656,1.16,47.04,43.7
27,27,Altria Group Inc,MO,Consumer Staples,Tobacco,MO,53.82,1870000000.0,102021000000.0,0.0703,-0.0463,0.25,4.19,3.28
28,28,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN,1930.1,492330000.0,952062000000.0,0.91,0.2377,1.71,27.4,23.95
29,29,Ameren Corp,AEE,Utilities,Multi-Utilities,AEE,71.37,245420000.0,17746000000.0,0.0665,0.2173,0.26,3.28,3.32
30,30,American Airlines Group,AAL,Industrials,Airlines,AAL,33.78,444840000.0,15253000000.0,0.1723,-0.2134,1.84,5.63,3.12
31,31,American Electric Power,AEP,Utilities,Electric Utilities,AEP,84.06,493440000.0,41954000000.0,0.0596,0.2009,0.17,4.13,4.14
32,32,American Express Co,AXP,Financials,Consumer Finance,AXP,117.05,835080000.0,97604000000.0,0.091,0.18239999999999998,1.06,8.12,7.85
33,33,American International Group,AIG,Financials,Property & Casualty Insurance,AIG,47.0,869740000.0,41230000000.0,0.49770000000000003,-0.1609,1.3,4.35,-0.01
34,34,American Tower Corp.,AMT,Real Estate,Specialized REITs,AMT,192.81,441970000.0,85837000000.0,0.201,0.4113,0.22,3.53,2.77
35,35,American Water Works Company Inc,AWK,Utilities,Water Utilities,AWK,106.61,180510000.0,19430000000.0,0.08199999999999999,0.22920000000000001,0.3,3.59,3.15
36,36,Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks,AMP,148.11,135400000.0,19881000000.0,0.1883,0.0536,2.23,15.71,14.2
37,37,AmerisourceBergen Corp,ABC,Health Care,Health Care Distributors,ABC,74.8,211090000.0,15792000000.0,0.0862,-0.17739999999999997,1.53,6.76,5.45
38,38,AMETEK Inc.,AME,Industrials,Electrical Components & Equipment,AME,87.86,227520000.0,20001000000.0,0.08449999999999999,0.2527,1.28,4.02,3.34
39,39,Amgen Inc.,AMGN,Health Care,Biotechnology,AMGN,181.63,615950000.0,110255000000.0,0.02,0.0383,0.97,14.1,12.62
40,40,Amphenol Corp,APH,Information Technology,Electronic Components,APH,98.58,297960000.0,29550000000.0,0.063,0.18170000000000003,0.9,3.91,3.88
41,41,Anadarko Petroleum Corp,APC,Energy,Oil & Gas Exploration & Production,APC,72.43,501960000.0,36663000000.0,0.2945,0.0833,1.34,2.12,0.95
42,42,"Analog Devices, Inc.",ADI,Information Technology,Semiconductors,ADI,114.46,368310000.0,42868000000.0,0.0934,0.3037,1.31,5.47,4.14
43,43,ANSYS,ANSS,Information Technology,Application Software,ANSS,193.52,83870000.0,16425999999.999998,0.156,0.1975,1.64,5.87,4.88
44,44,Anthem Inc.,ANTM,Health Care,Managed Health Care,ANTM,266.33,257200000.0,67816999999.99999,0.17579999999999998,0.1284,1.21,19.22,15.1
45,45,Aon plc,AON,Financials,Insurance Brokers,AON,177.74,240520000.0,42919000000.0,0.11349999999999999,0.2503,0.73,9.17,4.88
46,46,A.O. Smith Corp,AOS,Industrials,Building Products,AOS,53.58,141800000.0,8887000000.0,0.0935,-0.09029999999999999,1.39,2.71,2.58
47,47,Apache Corporation,APA,Energy,Oil & Gas Exploration & Production,APA,33.71,375910000.0,12403000000.0,-0.0040999999999999995,-0.1888,1.97,1.11,0.1
48,48,Apartment Investment & Management,AIV,Real Estate,Residential REITs,AIV,48.81,144270000.0,7573000000.0,0.071,0.2025,0.72,0.44,4.34
49,49,Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,203.06,4720000000.0,949469000000.0,0.13,0.23809999999999998,0.91,11.37,12.12
50,50,Applied Materials Inc.,AMAT,Information Technology,Semiconductor Equipment,AMAT,44.15,949390000.0,41716000000.0,0.10769999999999999,-0.1093,1.5,2.97,3.93
51,51,Aptiv Plc,APTV,Consumer Discretionary,Auto Parts & Equipment,APTV,85.49,257899999.99999997,22068000000.0,0.10949999999999999,0.0149,1.85,5.34,4.02
52,52,Archer-Daniels-Midland Co,ADM,Consumer Staples,Agricultural Products,ADM,43.41,560090000.0,24907000000.0,-0.08800000000000001,-0.04650000000000001,0.86,3.42,2.9
53,53,Arconic Inc.,ARNC,Industrials,Aerospace & Defense,ARNC,21.3,453080000.0,9637000000.0,0.11199999999999999,0.1623,2.36,1.64,1.29
54,54,Arista Networks,ANET,Information Technology,Communications Equipment,ANET,315.62,76510000.0,23901000000.0,0.1852,0.1978,1.79,9.25,4.06
55,55,Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers,AJG,82.8,185300000.0,15371000000.0,0.1359,0.1852,0.6,3.83,3.7
56,56,Assurant,AIZ,Financials,Multi-line Insurance,AIZ,94.46,61680000.0,5850000000.0,0.19399999999999998,0.0165,0.76,8.49,3.98
57,57,Atmos Energy Corp,ATO,Utilities,Gas Utilities,ATO,100.82,116890000.0,11936000000.0,0.064,0.1564,0.25,4.3,3.97
58,58,AT&T Inc.,T,Communication Services,Integrated Telecommunication Services,T,30.94,7300000000.0,226881000000.0,0.0263,-0.0557,0.82,3.57,2.66
59,59,Autodesk Inc.,ADSK,Information Technology,Application Software,ADSK,176.67,219540000.0,38983000000.0,-,0.4033,1.43,2.83,-0.37
60,60,Automatic Data Processing,ADP,Information Technology,Internet Services & Infrastructure,ADP,163.28,435630000.0,71461000000.0,0.1681,0.3803,1.08,5.38,3.63
61,61,AutoZone Inc,AZO,Consumer Discretionary,Specialty Stores,AZO,1019.94,24890000.0,25573000000.0,0.12480000000000001,0.6373,0.8,61.67,53.6
62,62,"AvalonBay Communities, Inc.",AVB,Real Estate,Residential REITs,AVB,198.42,139030000.0,27810000000.0,0.0254,0.2148,0.73,4.71,7.25
63,63,Avery Dennison Corp,AVY,Materials,Paper Packaging,AVY,109.81,84400000.0,9335000000.0,0.1197,0.0458,1.6,6.57,2.24
64,64,"Baker Hughes, a GE Company",BHGE,Energy,Oil & Gas Equipment & Services,BHGE,25.64,514900000.0,25497000000.0,0.511,-0.2808,0.82,0.99,0.45
65,65,Ball Corp,BLL,Materials,Metal & Glass Containers,BLL,59.53,334170000.0,20023000000.0,0.1417,0.4874,0.48,2.67,1.29
66,66,Bank of America Corp,BAC,Financials,Diversified Banks,BAC,30.8,9510000000.0,290666000000.0,0.2069,0.028399999999999998,1.54,2.86,2.69
67,67,The Bank of New York Mellon Corp.,BK,Financials,Asset Management & Custody Banks,BK,49.49,957520000.0,47502000000.0,0.0943,-0.0941,0.91,4.05,3.88
68,68,Baxter International Inc.,BAX,Health Care,Health Care Equipment,BAX,75.7,511120000.0,38932000000.0,0.10890000000000001,0.08650000000000001,1.16,3.28,2.93
69,69,BB&T Corporation,BBT,Financials,Regional Banks,BBT,51.19,765920000.0,39112000000.0,0.0384,-0.028399999999999998,1.19,4.22,3.94
70,70,Becton Dickinson,BDX,Health Care,Health Care Equipment,BDX,237.43,269060000.0,64268000000.0,0.1167,0.0209,1.4,12.07,3.25
71,71,Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings,BRK-B,217.32,1370000000.0,531558000000.0,0.233,0.11789999999999999,0.73,10.28,1.63
72,72,Best Buy Co. Inc.,BBY,Consumer Discretionary,Computer & Electronics Retail,BBY,73.14,267800000.0,19935000000.0,-,-0.040999999999999995,1.44,5.66,5.2
73,73,Biogen Inc.,BIIB,Health Care,Biotechnology,BIIB,229.67,193890000.0,44398000000.0,0.039599999999999996,-0.1616,1.85,29.03,23.14
74,74,BlackRock,BLK,Financials,Asset Management & Custody Banks,BLK,479.74,154500000.0,75321000000.0,0.06509999999999999,-0.0799,1.17,27.92,26.51
75,75,Block H&R,HRB,Consumer Discretionary,Specialized Consumer Services,HRB,27.05,203290000.0,5550000000.0,0.1,-0.022400000000000003,0.18,1.94,3.3
76,76,Boeing Company,BA,Industrials,Aerospace & Defense,BA,379.5,562630000.0,211993000000.0,0.1875,0.1364,1.43,16.35,17.47
77,77,Booking Holdings Inc,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,BKNG,1872.0,43900000.0,82027000000.0,0.1477,-0.13849999999999998,0.61,100.4,83.26
78,78,BorgWarner,BWA,Consumer Discretionary,Auto Parts & Equipment,BWA,41.91,207270000.0,8684000000.0,0.044000000000000004,-0.141,1.55,4.2,4.14
79,79,Boston Properties,BXP,Real Estate,Office REITs,BXP,135.72,154520000.0,23489000000.0,0.07,0.1151,1.08,2.94,3.7
80,80,Boston Scientific,BSX,Health Care,Health Care Equipment,BSX,36.78,1390000000.0,51504000000.0,0.12300000000000001,0.2789,0.82,1.56,1.28
81,81,Bristol-Myers Squibb,BMY,Health Care,Health Care Distributors,BMY,46.48,1640000000.0,75815000000.0,0.0755,-0.1115,0.87,4.18,3.14
82,82,Broadcom,AVGO,Information Technology,Semiconductors,AVGO,313.32,395850000.0,125608000000.0,0.1561,0.36310000000000003,0.27,23.06,15.15
83,83,Broadridge Financial Solutions,BR,Information Technology,Data Processing & Outsourced Services,BR,118.08,115680000.0,13617000000.0,0.1,0.09849999999999999,0.87,4.63,3.69
84,84,Brown-Forman Corp.,BF.B,Consumer Staples,Distillers & Vintners,BF-B,53.03,308050000.0,25163000000.0,0.0944,-0.0546,0.45,1.71,1.63
85,85,C. H. Robinson Worldwide,CHRW,Industrials,Air Freight & Logistics,CHRW,81.46,137360000.0,11141000000.0,0.0819,-0.11869999999999999,0.85,5.03,4.73
86,86,Cabot Oil & Gas,COG,Energy,Oil & Gas Exploration & Production,COG,25.94,423290000.0,10862000000.0,0.4104,0.0857,0.57,1.94,1.6
87,87,Cadence Design Systems,CDNS,Information Technology,Application Software,CDNS,68.18,281030000.0,19405000000.0,0.12,0.7019,1.14,2.09,1.4
88,88,Campbell Soup,CPB,Consumer Staples,Packaged Foods & Meats,CPB,38.36,301120000.0,11631000000.0,-0.026000000000000002,-0.059800000000000006,0.68,2.47,-0.55
89,89,Capital One Financial,COF,Financials,Consumer Finance,COF,93.02,469600000.0,43368000000.0,0.061,0.0194,1.34,10.97,12.08
90,90,Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",CPRI,44.63,150710000.0,6676000000.0,0.0677,-0.3442,1.03,4.95,3.73
91,91,Cardinal Health Inc.,CAH,Health Care,Health Care Distributors,CAH,48.0,298020000.0,14372000000.0,0.0492,-0.2607,1.65,5.08,-0.13
92,92,Carmax Inc,KMX,Consumer Discretionary,Specialty Stores,KMX,77.24,166190000.0,12888000000.0,-,0.2371,1.11,5.1,4.79
93,93,Carnival Corp.,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",CCL,54.25,527000000.0,37818000000.0,0.1105,-0.1369,1.59,4.55,4.4
94,94,Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Trucks,CAT,139.99,575540000.0,80461000000.0,0.20600000000000002,-0.037000000000000005,1.35,12.32,10.75
95,95,Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data,CBOE,101.43,-,11301000000.0,0.0072,-,-,4.64,-
96,96,CBRE Group,CBRE,Real Estate,Real Estate Services,CBRE,51.39,329080000.0,17084000000.0,0.09699999999999999,0.1353,1.43,3.59,3.1
97,97,CBS Corp.,CBS,Communication Services,Broadcasting,CBS,51.7,351790000.0,19116000000.0,0.154,0.0518,0.86,5.64,5.14
98,98,Celanese Corp.,CE,Materials,Specialty Chemicals,CE,107.9,126610000.0,13693000000.0,0.1092,-0.0077,1.06,10.45,8.85
99,99,Celgene Corp.,CELG,Health Care,Biotechnology,CELG,94.77,705260000.0,66766999999.99999,0.1784,0.0861,2.03,10.7,6.57
100,100,Centene Corporation,CNC,Health Care,Managed Health Care,CNC,52.66,413320000.0,21303000000.0,0.1519,-0.0374,1.42,4.27,2.61
101,101,CenterPoint Energy,CNP,Utilities,Multi-Utilities,CNP,30.53,501440000.0,15520000000.0,0.0608,0.2021,0.42,1.66,0.74
102,102,CenturyLink Inc,CTL,Communication Services,Integrated Telecommunication Services,CTL,11.67,1090000000.0,12488000000.0,0.11449999999999999,-0.3724,0.7,1.19,-1.63
103,103,Cerner,CERN,Health Care,Health Care Technology,CERN,65.54,324360000.0,21424000000.0,0.1047,0.131,0.95,2.65,1.92
104,104,CF Industries Holdings Inc,CF,Materials,Fertilizers & Agricultural Chemicals,CF,45.05,222400000.0,9960000000.0,0.5844,0.1577,0.66,2.11,1.24
105,105,Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage,SCHW,45.85,1330000000.0,61081000000.0,0.18100000000000002,-0.17559999999999998,1.05,2.78,2.59
106,106,Charter Communications,CHTR,Communication Services,Cable & Satellite,CHTR,371.44,224970000.0,94561000000.0,0.46259999999999996,0.3674,1.36,7.81,5.22
107,107,Chevron Corp.,CVX,Energy,Integrated Oil & Gas,CVX,121.1,1900000000.0,228857000000.0,0.73,-0.0591,0.78,7.28,7.74
108,108,Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants,CMG,677.91,27710000.0,18956000000.0,0.24350000000000002,0.6014,1.31,12.55,7.32
109,109,Chubb Limited,CB,Financials,Property & Casualty Insurance,CB,144.06,458230000.0,66185000000.0,0.10769999999999999,0.0587,0.71,10.67,8.49
110,110,Church & Dwight,CHD,Consumer Staples,Household Products,CHD,73.88,245930000.0,18391000000.0,0.0862,0.5972,0.02,2.47,2.27
111,111,CIGNA Corp.,CI,Health Care,Managed Health Care,CI,161.15,380060000.0,60414000000.0,0.1451,-0.0649,1.03,16.48,10.54
112,112,Cimarex Energy,XEC,Energy,Oil & Gas Exploration & Production,XEC,69.08,99630000.0,6794000000.0,0.0583,-0.3188,1.54,6.27,8.32
113,113,Cincinnati Financial,CINF,Financials,Property & Casualty Insurance,CINF,95.02,163230000.0,15649000000.0,0.0565,0.3504,0.55,3.51,6.16
114,114,Cintas Corporation,CTAS,Industrials,Diversified Support Services,CTAS,216.48,104570000.0,22670000000.0,0.146,0.2735,1.32,7.46,7.58
115,115,Cisco Systems,CSCO,Information Technology,Communications Equipment,CSCO,56.0,4400000000.0,246470000000.0,0.09910000000000001,0.2673,1.06,3.07,2.74
116,116,Citigroup Inc.,C,Financials,Diversified Banks,C,71.02,2310000000.0,163274000000.0,0.17059999999999997,0.0404,1.77,7.57,6.87
117,117,Citizens Financial Group,CFG,Financials,Regional Banks,CFG,36.17,461120000.0,16719999999.999998,0.1261,-0.1306,1.67,3.87,3.66
118,118,Citrix Systems,CTXS,Information Technology,Internet Software & Services,CTXS,100.81,132100000.0,13337000000.0,0.0913,-0.0203,0.79,6.01,3.73
119,119,The Clorox Company,CLX,Consumer Staples,Household Products,CLX,155.83,128160000.0,20438000000.0,0.0441,0.3343,0.47,6.32,6.05
120,120,CME Group Inc.,CME,Financials,Financial Exchanges & Data,CME,177.83,357840000.0,63901000000.0,0.0447,0.1259,0.06,6.86,5.71
121,121,CMS Energy,CMS,Utilities,Multi-Utilities,CMS,54.64,283730000.0,15688000000.0,0.071,0.1577,0.26,2.5,2.21
122,122,Coca-Cola Company,KO,Consumer Staples,Soft Drinks,KO,48.53,4269999999.9999995,209466000000.0,0.051100000000000007,0.1206,0.27,2.1,1.57
123,123,Cognizant Technology Solutions,CTSH,Information Technology,IT Consulting & Other Services,CTSH,72.43,569280000.0,41466000000.0,0.08810000000000001,-0.1151,1.05,4.44,3.6
124,124,Colgate-Palmolive,CL,Consumer Staples,Household Products,CL,71.51,858520000.0,62285000000.0,0.0335,0.0943,0.83,2.83,2.68
125,125,Comcast Corp.,CMCSA,Communication Services,Cable & Satellite,CMCSA,43.56,4530000000.0,196893000000.0,0.1375,0.38420000000000004,1.06,2.92,2.64
126,126,Comerica Inc.,CMA,Financials,Diversified Banks,CMA,78.85,155420000.0,12189000000.0,0.04,-0.16690000000000002,1.46,8.22,7.72
127,127,Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats,CAG,30.43,485920000.0,14847000000.0,0.061399999999999996,-0.18100000000000002,1.24,2.06,1.47
128,128,Concho Resources,CXO,Energy,Oil & Gas Exploration & Production,CXO,116.8,199230000.0,22932000000.0,0.5362,-0.2623,1.46,4.27,13.25
129,129,ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production,COP,63.55,1130000000.0,71752000000.0,-0.013999999999999999,-0.0435,0.7,4.35,5.32
130,130,Consolidated Edison,ED,Utilities,Electric Utilities,ED,84.58,326950000.0,28078000000.0,0.0304,0.054299999999999994,0.25,4.33,4.42
131,131,Constellation Brands,STZ,Consumer Staples,Distillers & Vintners,STZ,212.1,166880000.0,40346000000.0,-,-0.0883,0.68,8.57,17.57
132,132,The Cooper Companies,COO,Health Care,Health Care Supplies,COO,286.94,49370000.0,14247000000.0,0.1,0.25,1.08,11.99,7.31
133,133,Copart Inc,CPRT,Industrials,Diversified Support Services,CPRT,67.16,228210000.0,15361000000.0,0.223,0.3132,0.78,2.16,1.99
134,134,Corning Inc.,GLW,Information Technology,Electronic Components,GLW,31.05,785220000.0,24942000000.0,0.124,0.2483,1.23,2.02,1.13
135,135,Costco Wholesale Corp.,COST,Consumer Staples,Hypermarkets & Super Centers,COST,244.77,439880000.0,107887000000.0,0.10679999999999999,0.239,1.07,7.96,7.79
136,136,"Coty, Inc",COTY,Consumer Staples,Personal Products,COTY,10.89,751390000.0,8058999999.999999,0.0755,-0.3741,1.54,0.64,-1.65
137,137,Crown Castle International Corp.,CCI,Real Estate,Specialized REITs,CCI,123.68,415740000.0,51959000000.0,0.19149999999999998,0.2253,0.5,1.7,1.57
138,138,CSX Corp.,CSX,Industrials,Railroads,CSX,79.34,809160000.0,64319999999.99999,0.1164,0.33640000000000003,1.35,4.38,4.09
139,139,Cummins Inc.,CMI,Industrials,Industrial Machinery,CMI,167.54,157480000.0,26282000000.0,0.085,0.0268,1.27,15.56,13.15
140,140,CVS Health,CVS,Health Care,Health Care Services,CVS,54.63,1300000000.0,70625000000.0,0.0825,-0.2268,1.19,6.79,-0.57
141,141,D. R. Horton,DHI,Consumer Discretionary,Homebuilding,DHI,44.03,373130000.0,16578000000.0,0.0946,-0.0043,1.27,3.96,4.09
142,142,Danaher Corp.,DHR,Health Care,Health Care Equipment,DHR,131.71,715930000.0,94625000000.0,0.086,0.309,0.94,4.78,3.39
143,143,Darden Restaurants,DRI,Consumer Discretionary,Restaurants,DRI,119.94,122980000.0,14429000000.0,0.1295,0.2958,0.76,5.79,5.41
144,144,DaVita Inc.,DVA,Health Care,Health Care Facilities,DVA,56.22,166390000.0,9190000000.0,0.20379999999999998,-0.1057,1.68,4.37,0.92
145,145,Deere & Co.,DE,Industrials,Agricultural & Farm Machinery,DE,166.67,318490000.0,52790000000.0,0.19510000000000002,0.2288,1.02,11.15,10.4
146,146,Delta Air Lines Inc.,DAL,Industrials,Airlines,DAL,57.82,654650000.0,38310000000.0,0.1252,0.10550000000000001,1.21,6.67,6.0
147,147,Dentsply Sirona,XRAY,Health Care,Health Care Supplies,XRAY,50.68,223760000.0,11438000000.0,0.08810000000000001,0.005,0.86,2.32,-4.51
148,148,Devon Energy,DVN,Energy,Oil & Gas Exploration & Production,DVN,33.12,415250000.0,13305000000.0,0.3563,-0.09939999999999999,2.04,1.77,6.1
149,149,Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production,FANG,107.43,164380000.0,17439000000.0,0.2962,-0.1678,1.17,7.65,8.06
150,150,Digital Realty Trust Inc,DLR,Real Estate,Specialized REITs,DLR,116.95,208210000.0,25742000000.0,0.1845,0.1081,0.68,1.21,1.25
151,151,Discover Financial Services,DFS,Financials,Consumer Finance,DFS,81.64,325000000.0,26348000000.0,0.2084,0.14300000000000002,1.66,8.61,8.12
152,152,Discovery Inc. Class A,DISCA,Communication Services,Broadcasting,DISCA,31.65,157770000.0,22066000000.0,0.35240000000000005,0.33740000000000003,1.13,3.57,0.73
153,153,Discovery Inc. Class C,DISCK,Communication Services,Broadcasting,DISCK,29.42,360540000.0,22030000000.0,0.133,0.32,1.21,3.54,0.73
154,154,Dish Network,DISH,Communication Services,Cable & Satellite,DISH,35.32,229460000.0,16335999999.999998,-0.35109999999999997,0.055999999999999994,1.75,2.42,3.0
155,155,Dollar General,DG,Consumer Discretionary,General Merchandise Stores,DG,126.32,259180000.0,32647000000.0,-,0.29600000000000004,0.79,6.42,5.97
156,156,Dollar Tree,DLTR,Consumer Discretionary,General Merchandise Stores,DLTR,111.4,238520000.0,26425000000.0,-,0.1574,0.54,5.32,-6.69
157,157,Dominion Energy,D,Utilities,Electric Utilities,D,76.29,799400000.0,62001000000.0,0.0466,0.1444,0.19,4.21,3.74
158,158,Dover Corp.,DOV,Industrials,Industrial Machinery,DOV,97.9,145330000.0,14275000000.0,0.109,0.3054,1.78,5.8,3.64
159,159,Dow Inc.,DOW,Materials,Commodity Chemicals,DOW,55.76,748770000.0,42340000000.0,-,-,-,4.92,-
160,160,DowDuPont,DWDP,Materials,Specialty Chemicals,DWDP,38.05,2250000000.0,86079000000.0,0.1127,-0.1074,1.12,2.19,1.65
161,161,DTE Energy Co.,DTE,Utilities,Multi-Utilities,DTE,123.88,183210000.0,22962000000.0,0.0416,0.1729,0.33,6.23,6.37
162,162,Duke Realty Corp,DRE,Real Estate,Industrial REITs,DRE,30.69,359430000.0,11236000000.0,0.06,0.1317,0.72,0.46,0.99
163,163,Duke Energy,DUK,Utilities,Electric Utilities,DUK,89.69,727690000.0,66059000000.0,0.048600000000000004,0.1175,0.05,4.93,3.76
164,164,DXC Technology,DXC,Information Technology,IT Consulting & Other Services,DXC,65.75,268269999.99999997,17521000000.0,0.09949999999999999,-0.26530000000000004,1.7,8.25,5.39
165,165,E*Trade,ETFC,Financials,Investment Banking & Brokerage,ETFC,51.37,242660000.0,12322000000.0,0.10310000000000001,-0.1551,1.12,4.34,4.09
166,166,Eastman Chemical,EMN,Materials,Diversified Chemicals,EMN,80.25,138600000.0,10906000000.0,0.0984,-0.2137,0.86,8.71,7.05
167,167,Eaton Corporation,ETN,Industrials,Electrical Components & Equipment,ETN,82.49,424220000.0,35317000000.0,0.07429999999999999,0.11939999999999999,1.45,5.87,4.91
168,168,eBay Inc.,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail,EBAY,38.27,871530000.0,33610000000.0,0.1229,0.0098,1.44,2.69,2.74
169,169,Ecolab Inc.,ECL,Materials,Specialty Chemicals,ECL,180.77,288370000.0,53137000000.0,0.13369999999999999,0.2738,0.68,5.9,4.88
170,170,Edison Int'l,EIX,Utilities,Electric Utilities,EIX,63.33,325810000.0,20790000000.0,0.0479,-0.0339,-0.18,4.44,-1.3
171,171,Edwards Lifesciences,EW,Health Care,Health Care Equipment,EW,173.82,208110000.0,36690000000.0,0.11470000000000001,0.3688,1.02,5.27,3.6
172,172,Electronic Arts,EA,Communication Services,Interactive Home Entertainment,EA,94.49,299600000.0,28366000000.0,0.1001,-0.1971,1.48,3.92,4.59
173,173,Emerson Electric Company,EMR,Industrials,Electrical Components & Equipment,EMR,70.9,614620000.0,43558000000.0,0.09050000000000001,0.0702,1.35,3.69,3.59
174,174,Entergy Corp.,ETR,Utilities,Electric Utilities,ETR,94.96,190470000.0,18348000000.0,-0.0403,0.16440000000000002,0.18,5.43,4.63
175,175,EOG Resources,EOG,Energy,Oil & Gas Exploration & Production,EOG,97.99,580060000.0,55251000000.0,0.12300000000000001,-0.1791,1.41,5.33,5.89
