,Security,Symbol,GICS Sector,GICS Sub Industry,Ticker,Price,Shares Outstanding,Market Cap,Expected Growth - 5 Year,Last 12 Month Return,Beta,Avg Current Estimate,EPS,Equity COC,PVEPS,EPS1,EPS2,EPS3,EPS4,EPS5,Known Growth,Unknown Growth,% Present,% Known,% Unknown
17,Alexandria Real Estate Equities,ARE,Real Estate,Office REITs,ARE,141.47,112960000.0,16053999999.999998,0.001,0.131,0.85,1.93,3.52,0.07669999999999999,25.162972620599742,3.5235199999999995,3.527043519999999,3.5305705635199987,3.5341011340835182,3.5376352352176013,15.308439553876184,100.99858782552407,17.786790570862898,10.820979397664653,71.39223003147244
18,Alexion Pharmaceuticals,ALXN,Health Care,Biotechnology,ALXN,135.19,224240000.0,30451000000.0,0.1497,0.1501,1.75,9.31,1.86,0.1325,70.26415094339623,2.138442,2.4585667674,2.8266142124797797,3.2497583600880025,3.736247186593176,11.021959023642378,53.903890032961385,51.97437010385105,8.152939584024246,39.8726903121247
19,Align Technology,ALGN,Health Care,Health Care Supplies,ALGN,318.52,79990000.0,25835000000.0,0.21359999999999998,0.2708,2.71,5.14,4.64,0.19202,26.768044995312987,5.631104,6.8339078144,8.29363052355584,10.065150003387368,12.215066044110909,29.193582788006687,262.5583722166803,8.403882015356333,9.16538452467873,82.43073345996494
20,Allegion,ALLE,Industrials,Building Products,ALLE,98.49,93950000.0,9311000000.0,0.0867,0.2751,1.19,4.86,4.63,0.09778,49.70341583145838,5.031421,5.4676452007,5.94169003960069,6.45683456603407,7.016642122909224,24.654378524147674,24.13220564439394,50.465444036408144,25.03236726992352,24.502188693668337
21,"Allergan, Plc",AGN,Health Care,Pharmaceuticals,AGN,146.66,330220000.0,48506000000.0,0.038900000000000004,-0.0478,1.6,16.43,-15.26,0.1232,133.3603896103896,-15.853613999999999,-16.4703195846,-17.111015016440938,-17.776633500580488,-18.468144543753066,-68.2294175759962,81.52902796560659,90.93167162852149,-46.52217208236479,55.5905004538433
22,Alliance Data Systems,ADS,Information Technology,Data Processing & Outsourced Services,ADS,158.07,52380000.0,8372000000.0,0.059699999999999996,-0.22149999999999997,2.11,21.83,17.42,0.15481999999999999,141.00245446324763,18.459974000000003,19.562034447800006,20.72988790433367,21.96746221222239,23.27891970629207,78.29647236678113,-61.22892683002877,89.20253967435164,49.53278444156458,-38.73532411591622
23,Alliant Energy Corp,LNT,Utilities,Electric Utilities,LNT,46.38,237390000.0,11153000000.0,0.058499999999999996,0.0775,0.29,2.25,2.19,0.04198,53.596950929013815,2.318115,2.4537247275,2.59726762405875,2.749207780066187,2.910036435200059,11.963972163289846,-19.180923092303658,115.56048065764082,25.795541533613292,-41.35602219125411
24,Allstate Corp,ALL,Financials,Property & Casualty Insurance,ALL,97.9,332980000.0,32752000000.000004,0.1216,-0.0006,0.7,8.98,5.96,0.06739999999999999,133.2344213649852,6.684735999999999,7.497599897599999,8.409308045148158,9.431879903438174,10.578796499696256,36.99480504296438,-72.32922640794956,136.09236094482654,37.78836061589824,-73.88072156072478
25,Alphabet Inc Class A,GOOGL,Communication Services,Interactive Media & Services,GOOGL,1190.63,299360000.0,826373000000.0,0.17600000000000002,0.2726,1.19,46.96,43.7,0.09778,480.26181223154015,51.3912,60.436051199999994,71.07279621119999,83.58160834437118,98.2919714129805,296.2771127827995,414.09107498566044,40.33678071538095,24.884062452886244,34.77915683173281
26,Alphabet Inc Class C,GOOG,Communication Services,Interactive Media & Services,GOOG,1185.0,349290000.0,822958000000.0,0.17600000000000002,0.2656,1.16,47.04,43.7,0.09592,490.4086738949124,51.3912,60.436051199999994,71.07279621119999,83.58160834437118,98.2919714129805,297.3537639745346,397.23756213055293,41.38469821897995,25.093144639201235,33.52215714181881
27,Altria Group Inc,MO,Consumer Staples,Tobacco,MO,53.82,1870000000.0,102021000000.0,0.0703,-0.0463,0.25,4.19,3.28,0.0395,106.07594936708861,3.5105839999999997,3.7573780552,4.02152173248056,4.304234710273943,4.606822410406201,18.624372276334878,-70.88032164342349,197.09392301577222,34.60492804967461,-131.69885106544683
28,Amazon.com Inc.,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail,AMZN,1930.1,492330000.0,952062000000.0,0.91,0.2377,1.71,27.4,23.95,0.13002,210.7368097215813,45.7445,87.37199500000001,166.88051045000003,318.7417749595001,608.7967901726453,848.0031225694563,871.3600677089623,10.918439962778162,43.935709163745734,45.14585087347611
29,Ameren Corp,AEE,Utilities,Multi-Utilities,AEE,71.37,245420000.0,17746000000.0,0.0665,0.2173,0.26,3.28,3.32,0.04012,81.75473579262213,3.54078,3.77624187,4.027361954354999,4.295181524319607,4.580811095686861,18.624995361279606,-29.00973115390173,114.55056157015851,26.096392547680544,-40.646954117839044
30,American Airlines Group,AAL,Industrials,Airlines,AAL,33.78,444840000.0,15253000000.0,0.1723,-0.2134,1.84,5.63,3.12,0.13808,40.773464658169175,3.6575759999999997,4.287776344799999,5.026560209009038,5.892636533021295,6.907937807660864,19.42121484472404,-26.414679502893215,120.70297412128234,57.49323518272362,-78.19620930400596
31,American Electric Power,AEP,Utilities,Electric Utilities,AEP,84.06,493440000.0,41954000000.0,0.0596,0.2009,0.17,4.13,4.14,0.03454,119.57151129125651,4.386744,4.648193942400001,4.925226301367041,5.218769788928517,5.529808468348658,23.022388656449483,-58.53389994770599,142.2454333705169,27.38804265578097,-69.63347602629787
32,American Express Co,AXP,Financials,Consumer Finance,AXP,117.05,835080000.0,97604000000.0,0.091,0.18239999999999998,1.06,8.12,7.85,0.08972,90.50378956754346,8.56435,9.34370585,10.193983082349998,11.121635542843848,12.133704377242637,42.92246625841026,-16.376255825953727,77.3206232956373,36.670197572328284,-13.990820867965594
33,American International Group,AIG,Financials,Property & Casualty Insurance,AIG,47.0,869740000.0,41230000000.0,0.49770000000000003,-0.1609,1.3,4.35,-0.01,0.1046,41.58699808795411,-0.014977,-0.0224310529,-0.03359498792833,-0.050315213420259845,-0.07535709513952317,-0.1507677739037739,5.563769685949667,88.48297465522151,-0.3207824976676041,11.8378078424461
34,American Tower Corp.,AMT,Real Estate,Specialized REITs,AMT,192.81,441970000.0,85837000000.0,0.201,0.4113,0.22,3.53,2.77,0.03764,93.78320935175346,3.3267700000000002,3.9954507700000006,4.798536374770001,5.7630421860987715,6.921413665504625,22.762830695650738,76.26395995259581,48.64022060668712,11.805835120403888,39.553944272908986
35,American Water Works Company Inc,AWK,Utilities,Water Utilities,AWK,106.61,180510000.0,19430000000.0,0.08199999999999999,0.22920000000000001,0.3,3.59,3.15,0.0426,84.27230046948357,3.4083,3.6877806000000004,3.990178609200001,4.3173732551544015,4.671397862077063,18.37910173891354,3.958597791602891,79.04727555527958,17.239566399881383,3.713158044839031
36,Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks,AMP,148.11,135400000.0,19881000000.0,0.1883,0.0536,2.23,15.71,14.2,0.16226,96.81991864908173,16.873859999999997,20.051207837999996,23.826850273895396,28.313446180469896,33.644868096252374,88.23547948687091,-36.94539813595263,65.37027793469835,59.57428903306388,-24.94456696776222
37,AmerisourceBergen Corp,ABC,Health Care,Health Care Distributors,ABC,74.8,211090000.0,15792000000.0,0.0862,-0.17739999999999997,1.53,6.76,5.45,0.11886,56.8736328453643,5.919790000000001,6.430075898000001,6.984348440407602,7.586399275970737,8.240346893559416,27.920647581446147,-9.994280426810448,76.03426850984532,37.327068959152605,-13.361337468997927
38,AMETEK Inc.,AME,Industrials,Electrical Components & Equipment,AME,87.86,227520000.0,20001000000.0,0.08449999999999999,0.2527,1.28,4.02,3.34,0.10336000000000001,38.89318885448916,3.62223,3.928308435,4.2602504977575,4.620241664818009,5.01065208549513,17.502486693772774,31.464324451738065,44.26723065614519,19.92088173659546,35.81188760725935
39,Amgen Inc.,AMGN,Health Care,Biotechnology,AMGN,181.63,615950000.0,110255000000.0,0.02,0.0383,0.97,14.1,12.62,0.08413999999999999,167.57784644639887,12.872399999999999,13.129847999999999,13.392444959999999,13.6602938592,13.933499736384,57.183801422843764,-43.131647869242634,92.26330806937118,31.483676387625263,-23.74698445699644
40,Amphenol Corp,APH,Information Technology,Electronic Components,APH,98.58,297960000.0,29550000000.0,0.063,0.18170000000000003,0.9,3.91,3.88,0.07980000000000001,48.99749373433583,4.12444,4.384279719999999,4.660489342359999,4.954100170928679,5.266208481697185,19.990408010527318,29.592098255136847,49.70328031480608,20.278360732934996,30.018358952258925
41,Anadarko Petroleum Corp,APC,Energy,Oil & Gas Exploration & Production,APC,72.43,501960000.0,36663000000.0,0.2945,0.0833,1.34,2.12,0.95,0.10708000000000001,19.79828165857303,1.2297749999999998,1.5919437374999998,2.06077116819375,2.6676682772268094,3.4532965848701047,8.614083454880697,44.017634886546276,27.334366503621464,11.892977295154903,60.772656201223626
42,"Analog Devices, Inc.",ADI,Information Technology,Semiconductors,ADI,114.46,368310000.0,42868000000.0,0.0934,0.3037,1.31,5.47,4.14,0.10522000000000001,51.986314388899444,4.526675999999999,4.949467538399999,5.4117478064865585,5.917205051612402,6.469872003433,22.154415266868163,40.319270344232386,45.418761479031495,19.355596074496038,35.22564244647247
43,ANSYS,ANSS,Information Technology,Application Software,ANSS,193.52,83870000.0,16425999999.999998,0.156,0.1975,1.64,5.87,4.88,0.12568,46.70591979630809,5.641279999999999,6.521319679999999,7.538645550079998,8.714674255892477,10.074163439811704,29.767349996987768,117.04673020670415,24.134931684739605,15.382053532961848,60.48301478229855
44,Anthem Inc.,ANTM,Health Care,Managed Health Care,ANTM,266.33,257200000.0,67816999999.99999,0.17579999999999998,0.1284,1.21,19.22,15.1,0.09902,194.1022015754393,17.75458,20.875835164,24.545806985831202,28.860959853940326,33.93471659626304,102.07389367351158,-29.84609524895089,72.88033701627278,38.32609682480816,-11.206433841080948
45,Aon plc,AON,Financials,Insurance Brokers,AON,177.74,240520000.0,42919000000.0,0.11349999999999999,0.2503,0.73,9.17,4.88,0.06926,132.39965347964193,5.433879999999999,6.050625379999999,6.737371360629998,7.5020630100615024,8.353547161703483,29.512595364654764,15.827751155703318,74.49063434209627,16.604363319823765,8.905002338079958
46,A.O. Smith Corp,AOS,Industrials,Building Products,AOS,53.58,141800000.0,8887000000.0,0.0935,-0.09029999999999999,1.39,2.71,2.58,0.11018,24.596115447449627,2.82123,3.085015005,3.3734639079674995,3.6888827833624602,4.03379332360685,13.688592640687618,15.295291911862753,45.90540397060401,25.54795192364244,28.546644105753554
47,Apache Corporation,APA,Energy,Oil & Gas Exploration & Production,APA,33.71,375910000.0,12403000000.0,-0.0040999999999999995,-0.1888,1.97,1.11,0.1,0.14614,7.595456411660053,0.09959000000000001,0.09918168100000001,0.0987750361079,0.09837005845985762,0.09796674122017221,0.3834242300060583,25.731119358333892,22.531760343103095,1.1374198457610747,76.33081981113584
48,Apartment Investment & Management,AIV,Real Estate,Residential REITs,AIV,48.81,144270000.0,7573000000.0,0.071,0.2025,0.72,0.44,4.34,0.06864,6.41025641025641,4.64814,4.978157939999999,5.3316071537399985,5.710151261655538,6.1155720012330805,23.34357713923923,19.056166450504364,13.133080127548473,47.82539876918506,39.04152110326647
49,Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,203.06,4720000000.0,949469000000.0,0.13,0.23809999999999998,0.91,11.37,12.12,0.08042,141.38274061178808,13.695599999999997,15.476027999999996,17.487911639999993,19.761340153199992,22.33031437311599,75.05793804344114,-13.380678655229218,69.62609111188225,36.963428564680946,-6.589519676563191
50,Applied Materials Inc.,AMAT,Information Technology,Semiconductor Equipment,AMAT,44.15,949390000.0,41716000000.0,0.10769999999999999,-0.1093,1.5,2.97,3.93,0.11699999999999999,25.384615384615387,4.353261,4.8221072096999995,5.341448156184689,5.91672212260578,6.553953095210422,21.40686316920592,-2.641478553821308,57.49629758689782,48.48666629491715,-5.982963881814968
51,Aptiv Plc,APTV,Consumer Discretionary,Auto Parts & Equipment,APTV,85.49,257899999.99999997,22068000000.0,0.10949999999999999,0.0149,1.85,5.34,4.02,0.13870000000000002,38.50036049026676,4.460189999999999,4.948580804999999,5.4904504031474985,6.091654722292149,6.758690914383139,21.186166198597668,25.80347331113557,45.0349286352401,24.782040236984052,30.183031127775845
52,Archer-Daniels-Midland Co,ADM,Consumer Staples,Agricultural Products,ADM,43.41,560090000.0,24907000000.0,-0.08800000000000001,-0.04650000000000001,0.86,3.42,2.9,0.07732,44.23176409725815,2.6448,2.4120576000000002,2.1997965312000005,2.0062144364544006,1.8296675660464135,9.741913767372912,-10.563677864631066,101.89302947997732,22.441635031957873,-24.33466451193519
53,Arconic Inc.,ARNC,Industrials,Aerospace & Defense,ARNC,21.3,453080000.0,9637000000.0,0.11199999999999999,0.1623,2.36,1.64,1.29,0.17031999999999997,9.628933771723815,1.4344800000000002,1.5951417600000004,1.7737976371200006,1.972462972477441,2.1933788253949147,6.492305840297378,5.178760387978807,45.20626183907894,30.480309109377366,24.313429051543693
54,Arista Networks,ANET,Information Technology,Communications Equipment,ANET,315.62,76510000.0,23901000000.0,0.1852,0.1978,1.79,9.25,4.06,0.13498,68.52867091420951,4.8119119999999995,5.703078102399999,6.759288166964479,8.011108335486302,9.494765599218365,26.28502180003889,220.80630728575161,21.712398109818615,8.328059628679707,69.95954226150168
55,Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers,AJG,82.8,185300000.0,15371000000.0,0.1359,0.1852,0.6,3.83,3.7,0.0612,62.58169934640523,4.20283,4.773994596999999,5.422780462732298,6.159736327617617,6.99684449454085,24.18829098570736,-3.9699903321125944,75.5817624956585,29.212911818487154,-4.794674314145645
56,Assurant,AIZ,Financials,Multi-line Insurance,AIZ,94.46,61680000.0,5850000000.0,0.19399999999999998,0.0165,0.76,8.49,3.98,0.07112,119.37570303712036,4.75212,5.6740312799999995,6.774793348319999,8.08910325789408,9.65838928992553,29.874401712928147,-54.79010475004851,126.37698818242681,31.626510388448178,-58.00349857087499
57,Atmos Energy Corp,ATO,Utilities,Gas Utilities,ATO,100.82,116890000.0,11936000000.0,0.064,0.1564,0.25,4.3,3.97,0.0395,108.86075949367088,4.224080000000001,4.494421120000001,4.782064071680002,5.088116172267522,5.413755607292644,22.13971695122013,-30.18047644489102,107.97536152913202,21.959647838940818,-29.935009368072823
58,AT&T Inc.,T,Communication Services,Integrated Telecommunication Services,T,30.94,7300000000.0,226881000000.0,0.0263,-0.0557,0.82,3.57,2.66,0.07483999999999999,47.70176376269375,2.7299580000000003,2.8017558954000004,2.8754420754490204,2.9510662020333296,3.028679243146806,12.471365402436023,-29.233129165129775,154.17506064219054,40.30822689862968,-94.48328754082021
60,Automatic Data Processing,ADP,Information Technology,Internet Services & Infrastructure,ADP,163.28,435630000.0,71461000000.0,0.1681,0.3803,1.08,5.38,3.63,0.09096000000000001,59.14687774846085,4.240202999999999,4.952981124299999,5.7855772512948285,6.758132787237488,7.89417490877211,24.41879053449102,79.71433171704813,36.22420244271243,14.955163237684356,48.820634319603215
61,AutoZone Inc,AZO,Consumer Discretionary,Specialty Stores,AZO,1019.94,24890000.0,25573000000.0,0.12480000000000001,0.6373,0.8,61.67,53.6,0.0736,837.9076086956522,60.289280000000005,67.813382144,76.2764922355712,85.79579846657049,96.50311411519849,331.6025560246972,-149.5701647203494,82.15263728215898,32.511966980871144,-14.66460426303012
62,"AvalonBay Communities, Inc.",AVB,Real Estate,Residential REITs,AVB,198.42,139030000.0,27810000000.0,0.0254,0.2148,0.73,4.71,7.25,0.06926,68.00462027144094,7.434150000000001,7.622977410000002,7.816601036214002,8.015142702533838,8.218727327178199,34.243874021750216,96.17150570680884,34.2730673679271,17.258277402353702,48.468655229719204
63,Avery Dennison Corp,AVY,Materials,Paper Packaging,AVY,109.81,84400000.0,9335000000.0,0.1197,0.0458,1.6,6.57,2.24,0.1232,53.327922077922075,2.508128,2.8083509215999998,3.1445105269155196,3.520908436987307,3.9423611768946873,12.462727463508157,44.01935045856977,48.56381210993723,11.349355672077367,40.0868322179854
64,"Baker Hughes, a GE Company",BHGE,Energy,Oil & Gas Equipment & Services,BHGE,25.64,514900000.0,25497000000.0,0.511,-0.2808,0.82,0.99,0.45,0.07483999999999999,13.228220203099948,0.67995,1.0274044500000001,1.5524081239500003,2.3456886752884505,3.544335588360849,7.524177936357271,4.887601860542782,51.59212247698888,29.345467770504175,19.06240975250695
65,Ball Corp,BLL,Materials,Metal & Glass Containers,BLL,59.53,334170000.0,20023000000.0,0.1417,0.4874,0.48,2.67,1.29,0.05376,49.66517857142857,1.472793,1.6814877681,1.91975458483977,2.1917838095115654,2.502359575319354,8.699986886372294,1.164834542199138,83.42882340236615,14.614458065466644,1.9567185321672063
66,Bank of America Corp,BAC,Financials,Diversified Banks,BAC,30.8,9510000000.0,290666000000.0,0.2069,0.028399999999999998,1.54,2.86,2.69,0.11948,23.937060595915632,3.2465610000000003,3.9182744709000006,4.728965458929211,5.707388412381665,6.888247074903432,18.97386553937461,-12.110926135290242,77.71772920751829,61.60345954342406,-39.32118875094234
67,The Bank of New York Mellon Corp.,BK,Financials,Asset Management & Custody Banks,BK,49.49,957520000.0,47502000000.0,0.0943,-0.0941,0.91,4.05,3.88,0.08042,50.360606814225314,4.245884,4.6462708612000005,5.084414203411161,5.563874462792834,6.088547824634198,21.781935204187675,-22.652542018412987,101.75915703015824,44.01280097835457,-45.771958008512804
68,Baxter International Inc.,BAX,Health Care,Health Care Equipment,BAX,75.7,511120000.0,38932000000.0,0.10890000000000001,0.08650000000000001,1.16,3.28,2.93,0.09592,34.195162635529606,3.249077,3.6029014853000003,3.99525745704917,4.430340994121825,4.912805128381692,16.634788229743464,24.870049134726933,45.17194535737068,21.97462117535464,32.85343346727468
69,BB&T Corporation,BBT,Financials,Regional Banks,BBT,51.19,765920000.0,39112000000.0,0.0384,-0.028399999999999998,1.19,4.22,3.94,0.09778,43.15811004295357,4.091296,4.2484017664,4.4115403942297595,4.580943545368182,4.75685177751032,18.359959856109576,-10.328069899063145,84.30965040623866,35.866301731020855,-20.175952137259515
70,Becton Dickinson,BDX,Health Care,Health Care Equipment,BDX,237.43,269060000.0,64268000000.0,0.1167,0.0209,1.4,12.07,3.25,0.11079999999999998,108.93501805054154,3.6292750000000003,4.052811392500001,4.525774482004751,5.053932364054705,5.643726270939889,18.34017008704939,110.15481186240908,45.8808988125096,7.724453559806845,46.39464762768356
71,Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings,BRK-B,217.32,1370000000.0,531558000000.0,0.233,0.11789999999999999,0.73,10.28,1.63,0.06926,148.42622004042735,2.00979,2.4780710700000004,3.0554616293100008,3.767384188939231,4.645184704962072,13.635107405689618,55.258672553883024,68.29846311449815,6.274207346626919,25.427329538874943
73,Biogen Inc.,BIIB,Health Care,Biotechnology,BIIB,229.67,193890000.0,44398000000.0,0.039599999999999996,-0.1616,1.85,29.03,23.14,0.13870000000000002,209.30064888248015,24.056344000000003,25.008975222400004,25.999330641207045,27.028904134598847,28.099248738328964,101.08984431796748,-80.72049320044763,91.13103534744641,44.0152585526919,-35.1462939001383
74,BlackRock,BLK,Financials,Asset Management & Custody Banks,BLK,479.74,154500000.0,75321000000.0,0.06509999999999999,-0.0799,1.17,27.92,26.51,0.09653999999999999,289.20654650921904,28.235801,30.073951645099996,32.031765897196,34.11703385710346,36.33805276120089,133.31204816072363,57.22140533005734,60.28401769900759,27.78839541433352,11.927586886658885
75,Block H&R,HRB,Consumer Discretionary,Specialized Consumer Services,HRB,27.05,203290000.0,5550000000.0,0.1,-0.022400000000000003,0.18,1.94,3.3,0.03516,55.17633674630262,3.63,3.9930000000000003,4.3923000000000005,4.831530000000001,5.314683000000001,20.5706856236933,-48.69702236999592,203.9790637571261,76.04689694526175,-180.02596070238786
76,Boeing Company,BA,Industrials,Aerospace & Defense,BA,379.5,562630000.0,211993000000.0,0.1875,0.1364,1.43,16.35,17.47,0.11265999999999998,145.12693058760877,20.745624999999997,24.635429687499997,29.254572753906245,34.73980514526367,41.253518610000604,118.65266162703388,115.72040778535735,38.24161543810508,31.265523485384424,30.4928610765105
77,Booking Holdings Inc,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail,BKNG,1872.0,43900000.0,82027000000.0,0.1477,-0.13849999999999998,0.61,100.4,83.26,0.06182,1624.0698802976383,95.557502,109.67134504539999,125.86980270860556,144.46077256866658,165.79762867705864,561.5822591619365,-313.65213945957476,86.75586967401914,29.999052305659,-16.754921979678137
78,BorgWarner,BWA,Consumer Discretionary,Auto Parts & Equipment,BWA,41.91,207270000.0,8684000000.0,0.044000000000000004,-0.141,1.55,4.2,4.14,0.12010000000000001,34.970857618651124,4.32216,4.51233504,4.71087778176,4.91815640415744,5.134555285940367,18.86712992972742,-11.927987548378546,83.4427526095231,45.01820551116063,-28.46095812068372
79,Boston Properties,BXP,Real Estate,Office REITs,BXP,135.72,154520000.0,23489000000.0,0.07,0.1151,1.08,2.94,3.7,0.09096000000000001,32.32189973614775,3.9590000000000005,4.236130000000001,4.532659100000002,4.849945237000002,5.189441403590002,19.048853159897018,84.34924710395524,23.815133905207595,14.035406100719877,62.14945999407253
80,Boston Scientific,BSX,Health Care,Health Care Equipment,BSX,36.78,1390000000.0,51504000000.0,0.12300000000000001,0.2789,0.82,1.56,1.28,0.07483999999999999,20.844468198824163,1.43744,1.61424512,1.81279726976,2.03577133394048,2.2861712080151593,7.860779889332214,8.074751911843624,56.67337737581339,21.372430367950553,21.954192256236063
